Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,div,Log_VolumeGain
8/31/2021 4:00,47150.68,47900,46823.88,47761.26,9209,435510066,184908,0.987215999,29.67083793
8/31/2021 8:00,47761.26,48072.92,47137,47969.51,9881,470688238,223830,0.995658701,7.767805009
8/31/2021 12:00,47969.51,48246.11,47180,47397.13,10324,491977051,315521,1.012076259,4.423611132
8/31/2021 16:00,47397.13,47568.85,47001,47300.01,6867,324743696,195273,1.002053277,-41.53958276
8/31/2021 20:00,47300,47345,46744.57,47100.89,5466,257182990,205114,1.004227309,-23.32483886
9/1/2021 0:00,47100.89,47321.42,46512,47043.65,7129,333887161,174299,1.001216742,26.10152397
9/1/2021 4:00,47043.65,47473.28,46969.56,47171.01,6205,293308360,154762,0.997300037,-12.95786158
9/1/2021 8:00,47171,47770,47111.25,47713.31,7612,361886027,177818,0.988633989,21.01048409
9/1/2021 12:00,47713.3,47836.69,47252,47488.49,6778,322269352,177748,1.004733989,-11.59416269
9/1/2021 16:00,47488.5,49156,47386.66,48150,15850,767980478,404203,0.986261682,86.83766208
9/1/2021 20:00,48147.25,48873.89,48096.68,48810.52,6330,306743068,191554,0.986411331,-91.77538284
9/2/2021 0:00,48810.51,49870,48584.06,49561.24,11028,544487740,308576,0.984852477,57.38349409
9/2/2021 4:00,49557.88,50450,49303.48,49846.27,12263,611115976,355685,0.994214412,11.54413285
9/2/2021 8:00,49846.27,50199,49658.99,50072.61,8623,430512926,203288,0.995479764,-35.03094056
9/2/2021 12:00,50072.61,50450.13,49244.35,49540.7,11975,597288836,351018,1.010736829,32.74234598
9/2/2021 16:00,49540.7,49744.83,49186,49340.05,5834,288459332,201375,1.004066676,-72.78466964
9/2/2021 20:00,49340.06,49841.41,49224.92,49246.64,4688,232327505,129907,1.001896982,-21.64060767
9/3/2021 0:00,49246.63,49500,48316.84,49476.83,9337,455837783,234531,0.995347317,67.39889715
9/3/2021 4:00,49476.83,49755,49215.81,49305.11,6669,330086528,157183,1.003482803,-32.2782181
9/3/2021 8:00,49305.1,50485,49255.57,50168.54,13548,676829815,365590,0.982789214,71.80650341
9/3/2021 12:00,50168.55,51000,49888.24,50550.44,16778,849439092,384878,0.992445367,22.71563797
9/3/2021 16:00,50550.45,50720,50210.67,50528.49,6391,322522045,257573,1.000434606,-96.84047494
9/3/2021 20:00,50528.5,50534.32,49570,49999.14,6304,314859216,245408,1.010587382,-2.40458849
9/4/2021 0:00,49998,50350.47,49575.83,50277.43,6895,344282035,255407,0.994442238,8.933558506
9/4/2021 4:00,50282.19,50463.08,50109.04,50187.29,4033,202788532,140889,1.001890917,-52.92974689
9/4/2021 8:00,50187.3,50535.69,49690,49902.94,7042,352889542,216233,1.005698261,55.3991374
9/4/2021 12:00,49902.94,50317.05,49750,49873.53,5615,281025914,169239,1.000589692,-22.77082101
9/4/2021 16:00,49873.52,50043.49,49370,49974.82,7101,353477183,223943,0.997972979,22.93720516
9/4/2021 20:00,49974.83,50262.95,49724.22,49915.64,3978,199063930,220119,1.001185801,-57.41929079
9/5/2021 0:00,49917.54,50299.31,49657.14,49663.21,5415,270708491,164007,1.005121095,30.74165335
9/5/2021 4:00,49663.22,50040.01,49450,49857.14,4035,200745805,176779,0.996110487,-29.9003107
9/5/2021 8:00,49857.14,50390.01,49810,50198.78,6113,306257660,230417,0.993194257,42.23873178
9/5/2021 12:00,50198.78,50494.11,50014.21,50214.95,6630,333161951,248835,0.999677984,8.42019373
9/5/2021 16:00,50214.95,50875.08,50120,50684.56,6604,333286041,203541,0.990734654,0.037239215
9/5/2021 20:00,50684.56,51900,50636.1,51756.88,11748,605052078,394081,0.979281595,59.63134304
9/6/2021 0:00,51756.88,51943.28,51447.89,51595.29,7857,406516842,264306,1.003131875,-39.76891738
9/6/2021 4:00,51595.29,51994.37,51550,51796.19,6295,325832678,220719,0.996121336,-22.12413679
9/6/2021 8:00,51796.18,52188.8,51282.05,51400.67,10262,530673868,263788,1.007694647,48.77636561
9/6/2021 12:00,51400.68,51721.94,50969.33,51604.45,10141,521457254,384036,0.99605131,-1.752034432
9/6/2021 16:00,51604.45,52032.74,51478.63,51715.39,6004,310560695,255129,0.997854797,-51.82479464
9/6/2021 20:00,51715.4,52780,51625.98,52663.9,8691,454249646,290037,0.98198956,38.02675707
9/7/2021 0:00,52666.2,52920,52336.1,52654.16,8319,437773714,278488,1.000228662,-3.69447858
9/7/2021 4:00,52654.16,52731,52061.42,52344.08,8186,429449138,222712,1.005923879,-1.919882918
9/7/2021 8:00,52344.08,52366.46,50402,50941.48,21066,1079108333,598906,1.027533554,92.13870485
9/7/2021 12:00,50943.75,51124.91,42843.05,46656.07,51549,2468116593,1285100,1.091899725,82.73202643
9/7/2021 16:00,46656.07,47544.93,45901.57,46694.59,22952,1077018540,631279,0.999175065,-82.92587343
9/7/2021 20:00,46691.58,47186.3,46080.01,46863.73,10978,512639456,305226,0.996326583,-74.23791082
9/8/2021 0:00,46868.57,47340.99,46234.29,46450.41,8904,417049887,241931,1.009002289,-20.63669355
9/8/2021 4:00,46450.4,46825.5,45007,45080.3,14682,671925362,377697,1.030392433,47.69414182
9/8/2021 8:00,45075.72,46780,44412.02,46394.09,15065,689697348,384788,0.971583234,2.610560938
9/8/2021 12:00,46394.82,46900,45583,46087.35,11266,520768504,325516,1.006671462,-28.09472624
9/8/2021 16:00,46082.9,46530,45860.01,46436.32,7256,335817312,230763,0.992389147,-43.87383151
9/8/2021 20:00,46436.31,46779,45827.9,46048.31,7895,365347381,235406,1.008425934,8.428133193
9/9/2021 0:00,46048.31,46374.23,45513.08,46001.11,8605,396011325,218912,1.001026062,8.059417959
9/9/2021 4:00,46001.16,46358.4,45883.42,46275,6152,284003592,188583,0.994082334,-33.24559234
9/9/2021 8:00,46275.01,46560,45888.38,46293.15,8545,395213434,227754,0.999608149,33.04390722
9/9/2021 12:00,46293.15,47240.68,45599,47001.65,14522,678054441,374865,0.984926061,53.9801623
9/9/2021 16:00,47001.65,47399.97,46460.87,46574.75,7771,364037656,318867,1.009165911,-62.19702683
9/9/2021 20:00,46567.2,46646.56,46051.21,46395.14,5057,234542536,238605,1.003708578,-43.96203512
9/10/2021 0:00,46395.14,47033,46262.01,46719.71,5690,265643798,254325,0.993052825,12.45193445
9/10/2021 4:00,46719.71,46817.99,45900,46160.55,5969,276956069,206321,1.012113374,4.170259183
9/10/2021 8:00,46160.55,46390,45623.44,46331.86,8194,377780660,264097,0.996302544,31.04548647
9/10/2021 12:00,46331.85,46494.99,44738.9,45420.86,14612,665193479,410276,1.020056644,56.57641816
9/10/2021 16:00,45420.86,45819.93,45308,45649.78,5726,260958576,186209,0.994985299,-93.57162621
9/10/2021 20:00,45649.78,45831,44132.29,44850.91,8858,397166045,248713,1.017811679,41.99927605
9/11/2021 0:00,44842.2,45498.27,44722.22,45191.88,5651,255243044,171912,0.992262327,-44.21382377
9/11/2021 4:00,45191.89,45469.85,44765.52,45043.97,5039,227298646,143654,1.003283902,-11.5951431
9/11/2021 8:00,45043.97,45727.49,44835.29,45555.04,5331,241924147,163391,0.988781263,6.235946092
9/11/2021 12:00,45555.68,45796.93,45379.64,45573.99,5047,230157897,231099,0.999598236,-4.98586528
9/11/2021 16:00,45573.99,45987.93,45300,45357.06,4720,215404776,166323,1.004782717,-6.62466449
9/11/2021 20:00,45360.57,45450,44974.79,45173.69,4653,210342253,184511,1.004136921,-2.378295691
9/12/2021 0:00,45173.68,45343.6,44742.06,45316.28,4636,208802544,143499,0.996853228,-0.734694042
9/12/2021 4:00,45316.27,45500,45044,45357.02,3523,159568351,110670,0.999101572,-26.89166765
